id,"text,image",sentiment
1,"neutral,positive",positive
2,"neutral,positive",positive
3,"neutral,positive",positive
4,"positive,positive",positive
5,"positive,positive",positive
6,"positive,positive",positive
7,"positive,positive",positive
8,"neutral,positive",positive
9,"positive,positive",positive
10,"negative,negative",negative
11,"positive,positive",positive
12,"positive,positive",positive
13,"positive,positive",positive
14,"positive,positive",positive
15,"positive,positive",positive
16,"positive,positive",positive
17,"positive,positive",positive
18,"neutral,positive",positive
19,"negative,negative",negative
20,"neutral,positive",positive
21,"positive,positive",positive
22,"negative,negative",negative
23,"positive,positive",positive
24,"neutral,neutral",neutral
25,"neutral,neutral",neutral
26,"neutral,neutral",neutral
27,"neutral,neutral",neutral
28,"neutral,positive",positive
29,"neutral,positive",positive
30,"neutral,negative",negative
31,"positive,positive",positive
32,"neutral,positive",positive
33,"neutral,neutral",neutral
34,"positive,positive",positive
35,"neutral,positive",positive
36,"positive,positive",positive
37,"positive,negative",positive
38,"positive,positive",positive
39,"neutral,neutral",neutral
40,"positive,positive",positive
41,"neutral,negative",negative
42,"positive,positive",positive
43,"neutral,positive",positive
44,"neutral,positive",positive
45,"neutral,positive",positive
46,"neutral,neutral",neutral
47,"neutral,positive",positive
48,"neutral,positive",positive
49,"neutral,positive",positive
50,"positive,negative",positive
51,"positive,neutral",positive
52,"neutral,negative",negative
53,"neutral,positive",positive
54,"positive,positive",positive
55,"neutral,negative",negative
56,"neutral,neutral",neutral
57,"positive,neutral",positive
58,"positive,positive",positive
59,"neutral,positive",positive
60,"neutral,positive",positive
61,"neutral,positive",positive
62,"positive,neutral",positive
63,"neutral,positive",positive
64,"neutral,negative",negative
65,"positive,positive",positive
66,"positive,positive",positive
67,"positive,positive",positive
68,"positive,positive",positive
69,"negative,negative",negative
70,"neutral,positive",positive
71,"neutral,positive",positive
72,"neutral,negative",negative
73,"neutral,neutral",neutral
74,"positive,neutral",positive
75,"neutral,negative",negative
76,"positive,positive",positive
77,"positive,positive",positive
78,"neutral,positive",positive
79,"positive,positive",positive
80,"negative,negative",negative
81,"positive,positive",positive
82,"positive,neutral",positive
83,"positive,positive",positive
84,"positive,neutral",positive
85,"neutral,neutral",neutral
86,"positive,neutral",positive
87,"negative,negative",negative
88,"positive,positive",positive
89,"positive,positive",positive
90,"negative,positive",negative
91,"positive,positive",positive
92,"positive,positive",positive
93,"negative,negative",negative
94,"positive,positive",positive
95,"positive,positive",positive
96,"positive,positive",positive
97,"negative,negative",negative
98,"positive,positive",positive
99,"neutral,positive",positive
100,"positive,positive",positive
101,"neutral,positive",positive
102,"neutral,positive",positive
103,"positive,positive",positive
104,"neutral,neutral",neutral
105,"neutral,neutral",neutral
106,"neutral,neutral",neutral
107,"neutral,positive",positive
108,"neutral,neutral",neutral
109,"neutral,positive",positive
110,"negative,negative",negative
111,"positive,positive",positive
112,"positive,positive",positive
113,"neutral,positive",positive
114,"positive,positive",positive
115,"positive,positive",positive
116,"neutral,neutral",neutral
117,"neutral,neutral",neutral
118,"negative,negative",negative
119,"neutral,negative",negative
120,"positive,positive",positive
121,"positive,positive",positive
122,"positive,positive",positive
123,"positive,positive",positive
124,"positive,positive",positive
125,"neutral,positive",positive
126,"neutral,positive",positive
127,"positive,neutral",positive
128,"positive,neutral",positive
129,"neutral,positive",positive
130,"negative,negative",negative
131,"negative,negative",negative
132,"neutral,positive",positive
133,"neutral,positive",positive
134,"neutral,negative",negative
135,"neutral,positive",positive
136,"neutral,neutral",neutral
137,"positive,positive",positive
138,"neutral,positive",positive
139,"positive,neutral",positive
140,"neutral,neutral",neutral
141,"neutral,positive",positive
142,"neutral,neutral",neutral
143,"positive,neutral",positive
144,"positive,positive",positive
145,"positive,positive",positive
146,"neutral,neutral",neutral
147,"neutral,positive",positive
148,"neutral,positive",positive
149,"positive,positive",positive
150,"negative,positive",negative
151,"positive,positive",positive
152,"negative,positive",negative
153,"negative,neutral",negative
154,"positive,positive",positive
155,"neutral,neutral",neutral
156,"positive,positive",positive
157,"neutral,positive",positive
158,"neutral,negative",negative
159,"negative,neutral",negative
160,"negative,positive",negative
161,"positive,positive",positive
162,"positive,positive",positive
163,"positive,positive",positive
164,"negative,negative",negative
165,"neutral,neutral",neutral
166,"positive,positive",positive
167,"positive,neutral",positive
168,"neutral,positive",positive
169,"neutral,negative",negative
170,"positive,neutral",positive
171,"positive,positive",positive
172,"positive,positive",positive
173,"positive,neutral",positive
174,"positive,neutral",positive
175,"positive,positive",positive
176,"neutral,positive",positive
177,"neutral,positive",positive
178,"positive,positive",positive
179,"negative,negative",negative
180,"neutral,neutral",neutral
181,"neutral,neutral",neutral
182,"positive,positive",positive
183,"positive,neutral",positive
184,"neutral,neutral",neutral
185,"positive,positive",positive
186,"negative,negative",negative
187,"neutral,positive",positive
188,"negative,negative",negative
189,"negative,neutral",negative
190,"negative,neutral",negative
191,"positive,positive",positive
192,"neutral,positive",positive
193,"neutral,positive",positive
194,"negative,negative",negative
195,"negative,negative",negative
196,"negative,negative",negative
197,"positive,positive",positive
198,"neutral,neutral",neutral
199,"positive,positive",positive
200,"negative,positive",negative
201,"negative,negative",negative
202,"negative,negative",negative
203,"negative,negative",negative
204,"negative,negative",negative
205,"negative,negative",negative
206,"positive,negative",positive
207,"neutral,positive",positive
208,"negative,negative",negative
209,"neutral,positive",positive
210,"positive,positive",positive
211,"neutral,neutral",neutral
212,"neutral,positive",positive
213,"positive,positive",positive
214,"positive,positive",positive
215,"positive,positive",positive
216,"positive,positive",positive
217,"positive,positive",positive
218,"neutral,positive",positive
219,"neutral,neutral",neutral
220,"neutral,positive",positive
221,"positive,positive",positive
222,"positive,positive",positive
223,"neutral,positive",positive
224,"positive,positive",positive
225,"neutral,positive",positive
226,"neutral,positive",positive
227,"neutral,positive",positive
228,"neutral,positive",positive
229,"positive,positive",positive
230,"positive,positive",positive
231,"positive,positive",positive
232,"negative,negative",negative
233,"positive,positive",positive
234,"neutral,negative",negative
235,"negative,positive",negative
236,"negative,positive",negative
237,"positive,positive",positive
238,"negative,positive",negative
239,"positive,positive",positive
240,"positive,neutral",positive
241,"positive,positive",positive
242,"positive,positive",positive
243,"neutral,neutral",neutral
244,"neutral,positive",positive
245,"neutral,neutral",neutral
246,"negative,negative",negative
247,"positive,positive",positive
248,"neutral,negative",negative
249,"negative,negative",negative
250,"neutral,negative",negative
251,"neutral,positive",positive
252,"neutral,positive",positive
253,"negative,negative",negative
254,"negative,negative",negative
255,"negative,negative",negative
256,"positive,neutral",positive
257,"positive,positive",positive
258,"neutral,negative",negative
259,"neutral,positive",positive
260,"negative,negative",negative
261,"neutral,positive",positive
262,"negative,positive",negative
263,"neutral,positive",positive
264,"negative,negative",negative
265,"neutral,positive",positive
266,"positive,positive",positive
267,"neutral,positive",positive
268,"positive,positive",positive
269,"neutral,neutral",neutral
270,"neutral,positive",positive
271,"neutral,positive",positive
272,"negative,negative",negative
273,"negative,negative",negative
274,"positive,positive",positive
275,"positive,positive",positive
276,"positive,positive",positive
277,"positive,positive",positive
278,"positive,positive",positive
279,"positive,positive",positive
280,"negative,negative",negative
281,"positive,positive",positive
282,"positive,positive",positive
283,"neutral,positive",positive
284,"positive,positive",positive
285,"negative,negative",negative
286,"positive,positive",positive
287,"positive,neutral",positive
288,"positive,positive",positive
289,"positive,positive",positive
290,"positive,positive",positive
291,"positive,positive",positive
292,"positive,positive",positive
293,"positive,positive",positive
294,"positive,positive",positive
295,"positive,positive",positive
296,"positive,negative",positive
297,"negative,negative",negative
298,"positive,positive",positive
299,"positive,positive",positive
300,"positive,positive",positive
301,"positive,negative",positive
302,"negative,negative",negative
303,"positive,neutral",positive
304,"neutral,positive",positive
305,"positive,neutral",positive
306,"positive,positive",positive
307,"positive,neutral",positive
308,"neutral,positive",positive
309,"negative,positive",negative
310,"positive,neutral",positive
311,"positive,positive",positive
312,"negative,negative",negative
313,"negative,negative",negative
314,"neutral,positive",positive
315,"positive,positive",positive
316,"negative,negative",negative
317,"negative,positive",negative
318,"negative,negative",negative
319,"positive,negative",positive
320,"negative,negative",negative
321,"positive,positive",positive
322,"neutral,positive",positive
323,"negative,negative",negative
324,"negative,positive",negative
325,"positive,positive",positive
326,"positive,positive",positive
327,"negative,negative",negative
328,"positive,positive",positive
329,"positive,positive",positive
330,"neutral,neutral",neutral
331,"negative,negative",negative
332,"negative,positive",negative
333,"negative,negative",negative
334,"negative,negative",negative
335,"neutral,neutral",neutral
336,"positive,positive",positive
337,"positive,positive",positive
338,"positive,positive",positive
339,"positive,positive",positive
340,"neutral,neutral",neutral
341,"positive,positive",positive
